Date : 2024-01-11 12:08:50
Directory : e:\Dev\go_great
Total : 72 files,  3238 codes, 322 comments, 440 blanks, all 4000 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         12 |      1,483 |         37 |        131 |      1,651 |
| C++             |         16 |        540 |        121 |        182 |        843 |
| XML             |         16 |        528 |         49 |         14 |        591 |
| JSON            |          8 |        312 |          0 |          5 |        317 |
| Gradle          |          3 |        108 |         10 |         26 |        144 |
| HTML            |          1 |         98 |         16 |         15 |        129 |
| Swift           |          6 |         60 |          7 |         20 |         87 |
| YAML            |          3 |         45 |         82 |         21 |        148 |
| CMake           |          2 |         39 |          0 |         12 |         51 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| Kotlin          |          1 |          4 |          0 |          3 |          7 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |         72 |      3,238 |        322 |        440 |      4,000 |
| . (Files)                                                                          |          4 |         55 |         82 |         28 |        165 |
| android                                                                            |         16 |        250 |         56 |         40 |        346 |
| android (Files)                                                                    |          3 |         54 |          0 |         12 |         66 |
| android\app                                                                        |         12 |        191 |         56 |         27 |        274 |
| android\app (Files)                                                                |          2 |         86 |         10 |         15 |        111 |
| android\app\src                                                                    |         10 |        105 |         46 |         12 |        163 |
| android\app\src\debug                                                              |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                               |          8 |         99 |         38 |         10 |        147 |
| android\app\src\main (Files)                                                       |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\kotlin                                                        |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                    |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                            |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\go_great                                   |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                           |          6 |         68 |         32 |          6 |        106 |
| android\app\src\main\res\drawable                                                  |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                              |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                    |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                              |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                          |          1 |         12 |          7 |          1 |         20 |
| android\app\src\main\res\values-v31                                                |          1 |         12 |          7 |          1 |         20 |
| android\app\src\profile                                                            |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                     |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                             |          1 |          5 |          0 |          1 |          6 |
| assets                                                                             |          4 |         16 |          1 |          2 |         19 |
| ios                                                                                |         10 |        264 |          4 |         14 |        282 |
| ios (Files)                                                                        |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                         |          8 |        250 |          2 |         10 |        262 |
| ios\Runner (Files)                                                                 |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                    |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                         |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                      |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                               |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                              |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                |         10 |      1,468 |         27 |        123 |      1,618 |
| linux                                                                              |          6 |        112 |         27 |         44 |        183 |
| linux (Files)                                                                      |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                      |          3 |         26 |          9 |         17 |         52 |
| macos                                                                              |          7 |        459 |          5 |         16 |        480 |
| macos (Files)                                                                      |          1 |          7 |          0 |          0 |          7 |
| macos\Flutter                                                                      |          1 |         14 |          3 |          4 |         21 |
| macos\Runner                                                                       |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                               |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                  |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                            |          1 |        343 |          0 |          1 |        344 |
| test                                                                               |          2 |         15 |         10 |          8 |         33 |
| web                                                                                |          2 |        133 |         16 |         16 |        165 |
| windows                                                                            |         11 |        466 |         94 |        149 |        709 |
| windows\flutter                                                                    |          3 |         38 |          9 |         17 |         64 |
