Date : 2024-01-18 11:33:59
Directory : e:\Dev\go_great
Total : 101 files,  6910 codes, 371 comments, 643 blanks, all 7924 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         27 |      4,987 |        103 |        322 |      5,412 |
| XML             |         30 |        636 |         49 |         28 |        713 |
| C++             |         16 |        550 |        121 |        182 |        853 |
| JSON            |          8 |        312 |          0 |          5 |        317 |
| Gradle          |          3 |        108 |         10 |         26 |        144 |
| HTML            |          1 |         98 |         16 |         15 |        129 |
| YAML            |          3 |         83 |         65 |         22 |        170 |
| Swift           |          6 |         72 |          7 |         20 |         99 |
| CMake           |          2 |         42 |          0 |         12 |         54 |
| Markdown        |          2 |         10 |          0 |          6 |         16 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
| Kotlin          |          1 |          4 |          0 |          3 |          7 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |        101 |      6,910 |        371 |        643 |      7,924 |
| . (Files)                                                                          |          4 |         90 |         65 |         26 |        181 |
| android                                                                            |         16 |        251 |         56 |         40 |        347 |
| android (Files)                                                                    |          3 |         54 |          0 |         12 |         66 |
| android\app                                                                        |         12 |        192 |         56 |         27 |        275 |
| android\app (Files)                                                                |          2 |         86 |         10 |         15 |        111 |
| android\app\src                                                                    |         10 |        106 |         46 |         12 |        164 |
| android\app\src\debug                                                              |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                               |          8 |        100 |         38 |         10 |        148 |
| android\app\src\main (Files)                                                       |          1 |         28 |          6 |          1 |         35 |
| android\app\src\main\kotlin                                                        |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                    |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                            |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\go_great                                   |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                           |          6 |         68 |         32 |          6 |        106 |
| android\app\src\main\res\drawable                                                  |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                              |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                    |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                              |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                          |          1 |         12 |          7 |          1 |         20 |
| android\app\src\main\res\values-v31                                                |          1 |         12 |          7 |          1 |         20 |
| android\app\src\profile                                                            |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                     |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                             |          1 |          5 |          0 |          1 |          6 |
| assets                                                                             |         18 |        123 |          1 |         16 |        140 |
| ios                                                                                |         10 |        264 |          4 |         14 |        282 |
| ios (Files)                                                                        |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                         |          8 |        250 |          2 |         10 |        262 |
| ios\Runner (Files)                                                                 |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                    |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                         |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                      |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                               |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                              |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                |         27 |      4,987 |        103 |        322 |      5,412 |
| linux                                                                              |          6 |        117 |         27 |         44 |        188 |
| linux (Files)                                                                      |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                      |          3 |         31 |          9 |         17 |         57 |
| macos                                                                              |          7 |        471 |          5 |         16 |        492 |
| macos (Files)                                                                      |          1 |          7 |          0 |          0 |          7 |
| macos\Flutter                                                                      |          1 |         26 |          3 |          4 |         33 |
| macos\Runner                                                                       |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                               |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                  |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                            |          1 |        343 |          0 |          1 |        344 |
| web                                                                                |          2 |        133 |         16 |         16 |        165 |
| windows                                                                            |         11 |        474 |         94 |        149 |        717 |
| windows\flutter                                                                    |          3 |         46 |          9 |         17 |         72 |
| windows\runner                                                                     |          8 |        428 |         85 |        132 |        645 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                           | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| e:\Dev\go_great\README.md                                                          | Markdown        |          7 |          0 |          4 |         11 |
| e:\Dev\go_great\analysis_options.yaml                                              | YAML            |          3 |         22 |          4 |         29 |
| e:\Dev\go_great\android\app\build.gradle                                           | Gradle          |         57 |         10 |         15 |         82 |
| e:\Dev\go_great\android\app\google-services.json                                   | JSON            |         29 |          0 |          0 |         29 |
| e:\Dev\go_great\android\app\src\debug\AndroidManifest.xml                          | XML             |          3 |          4 |          1 |          8 |
| e:\Dev\go_great\android\app\src\main\AndroidManifest.xml                           | XML             |         28 |          6 |          1 |         35 |
| e:\Dev\go_great\android\app\src\main\kotlin\com\example\go_great\MainActivity.kt   | Kotlin          |          4 |          0 |          3 |          7 |
| e:\Dev\go_great\android\app\src\main\res\drawable-v21\launch_background.xml        | XML             |          9 |          0 |          1 |         10 |
| e:\Dev\go_great\android\app\src\main\res\drawable\launch_background.xml            | XML             |          9 |          0 |          1 |         10 |
| e:\Dev\go_great\android\app\src\main\res\values-night-v31\styles.xml               | XML             |         12 |          7 |          1 |         20 |
| e:\Dev\go_great\android\app\src\main\res\values-night\styles.xml                   | XML             |         13 |          9 |          1 |         23 |
| e:\Dev\go_great\android\app\src\main\res\values-v31\styles.xml                     | XML             |         12 |          7 |          1 |         20 |
| e:\Dev\go_great\android\app\src\main\res\values\styles.xml                         | XML             |         13 |          9 |          1 |         23 |
| e:\Dev\go_great\android\app\src\profile\AndroidManifest.xml                        | XML             |          3 |          4 |          1 |          8 |
| e:\Dev\go_great\android\build.gradle                                               | Gradle          |         27 |          0 |          5 |         32 |
| e:\Dev\go_great\android\gradle.properties                                          | Java Properties |          3 |          0 |          1 |          4 |
| e:\Dev\go_great\android\gradle\wrapper\gradle-wrapper.properties                   | Java Properties |          5 |          0 |          1 |          6 |
| e:\Dev\go_great\android\settings.gradle                                            | Gradle          |         24 |          0 |          6 |         30 |
| e:\Dev\go_great\assets\albums.svg                                                  | XML             |          9 |          0 |          1 |         10 |
| e:\Dev\go_great\assets\backbutton_blue.svg                                         | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\assets\backbutton_yellow.svg                                       | XML             |          6 |          0 |          1 |          7 |
| e:\Dev\go_great\assets\bookmark.svg                                                | XML             |          5 |          0 |          1 |          6 |
